age,employment_type,monthly_income,credit_score,savings,existing_loan,loan_purpose,requested_amount,tenure_years,collateral,recommended_loan_type,approved_amount,approval_status
28,Salaried,58025,695,234947,Yes,Medical,81244,19,No,Personal,434,Rejected
56,Self-Employed,72982,629,962059,No,Emergency,406778,1,Yes,Personal,406778,Approved
42,Salaried,23169,645,574740,Yes,Shopping,180889,24,No,Personal,23700,Rejected
57,Self-Employed,51502,795,187335,Yes,Travel,525435,4,No,Personal,525435,Partial
38,Salaried,55608,632,362679,No,Shopping,280283,13,No,Personal,280283,Partial
35,Salaried,63146,628,679927,Yes,Emergency,724079,21,No,Personal,675835,Partial
56,Student,64039,823,779161,Yes,Medical,99405,5,No,Personal,99405,Partial
48,Salaried,39526,856,547253,Yes,Shopping,329786,22,Yes,Personal,329786,Approved
50,Salaried,114523,766,1084685,Yes,Shopping,688551,21,No,Personal,688551,Approved
55,Salaried,36010,546,664903,Yes,Shopping,132582,2,Yes,Personal,24923,Rejected
55,Self-Employed,35574,763,575864,No,Travel,468373,7,Yes,Personal,468373,Approved
28,Self-Employed,31078,570,502585,Yes,Medical,290062,1,Yes,Personal,4643,Rejected
53,Self-Employed,35906,617,1011262,Yes,Wedding,148907,16,No,Personal,13470,Rejected
50,Salaried,71175,551,731569,Yes,Wedding,612336,8,Yes,Personal,612336,Approved
50,Self-Employed,52471,711,1174115,Yes,Medical,297861,2,Yes,Personal,297861,Partial
46,Salaried,20070,788,974221,No,Wedding,249122,14,No,Personal,249122,Partial
55,Salaried,51874,561,1074553,Yes,Wedding,121849,2,Yes,Personal,121849,Partial
28,Self-Employed,21302,828,1116354,No,Travel,300280,9,Yes,Personal,300280,Approved
40,Business,44637,723,981094,Yes,Shopping,328082,3,Yes,Personal,328082,Partial
36,Student,34358,798,1129269,Yes,Medical,190814,22,No,Personal,190814,Partial
56,Self-Employed,39819,644,446974,No,Travel,103266,17,No,Personal,1444,Rejected
21,Student,70877,762,946596,No,Medical,128898,18,Yes,Personal,128898,Approved
58,Self-Employed,21370,716,103665,No,Medical,420858,7,Yes,Personal,420858,Partial
36,Self-Employed,103207,727,396146,No,Travel,216931,14,Yes,Personal,216931,Partial
